Date,Open,High,Low,Close ,Adj Close ,Volume
5-Aug-24,"53,487.22","53,600.22","51,175.10","53,461.49","53,461.49",-
29-Jul-24,"54,853.40","55,838.65","53,035.62","53,487.26","53,487.26",-
22-Jul-24,"55,135.80","55,977.47","54,098.67","54,853.37","54,853.37",-
15-Jul-24,"56,083.50","56,825.18","55,059.97","55,135.87","55,135.87",-
8-Jul-24,"55,391.50","56,458.22","55,360.89","56,083.52","56,083.52",-
1-Jul-24,"54,470.92","55,422.95","54,313.54","55,391.54","55,391.54",-
24-Jun-24,"54,432.50","55,042.58","54,265.66","54,470.66","54,470.66",-
17-Jun-24,"54,100.90","54,808.50","53,989.33","54,432.47","54,432.47",-
10-Jun-24,"53,376.30","54,446.39","53,161.95","54,101.02","54,101.02",-
3-Jun-24,"52,875.50","53,645.31","52,421.31","53,376.30","53,376.30",-
27-May-24,"53,178.40","53,305.33","52,041.82","52,875.52","52,875.52",-
20-May-24,"53,273.20","53,567.61","52,700.68","53,188.11","53,188.11",-
13-May-24,"52,468.30","53,491.21","52,376.72","53,273.21","53,273.21",-
6-May-24,"51,555.30","52,655.97","51,555.30","52,468.29","52,468.29",-
29-Apr-24,"51,238.10","51,688.82","49,571.15","51,555.36","51,555.36",-
22-Apr-24,"49,886.30","51,381.96","49,886.30","51,238.09","51,238.09",-
15-Apr-24,"51,459.76","51,905.56","50,108.80","50,451.31","50,451.31",-
8-Apr-24,"52,338.15","52,573.59","51,301.70","51,459.67","51,459.67",-
1-Apr-24,"52,915.82","52,975.21","51,763.76","52,338.15","52,338.15",-
25-Mar-24,"52,617.77","53,009.37","52,355.93","52,915.82","52,915.82",-
18-Mar-24,"51,445.53","52,937.97","51,445.53","52,617.77","52,617.77",-
11-Mar-24,"51,615.40","52,114.56","51,278.69","51,445.53","51,445.53",-
4-Mar-24,"51,725.80","52,279.11","50,921.26","51,615.40","51,615.40",-
26-Feb-24,"51,154.38","51,752.21","50,939.57","51,725.80","51,725.80",-
19-Feb-24,"50,451.41","51,341.02","49,775.60","51,154.38","51,154.38",-
12-Feb-24,"50,577.92","50,856.86","49,476.45","50,672.54","50,672.54",-
5-Feb-24,"49,837.07","50,619.13","49,349.91","50,577.92","50,577.92",-
29-Jan-24,"49,249.17","50,000.16","48,765.87","49,837.07","49,837.07",-
22-Jan-24,"48,725.62","49,414.72","48,725.62","49,249.17","49,249.17",-
15-Jan-24,"48,240.15","48,735.14","47,246.50","48,725.62","48,725.62",-
8-Jan-24,"47,439.63","48,487.17","47,439.63","48,240.15","48,240.15",-
1-Jan-24,"48,295.38","48,295.38","47,313.80","47,439.63","47,439.63",-
25-Dec-23,"48,171.76","48,598.18","48,144.83","48,295.38","48,295.38",-
18-Dec-23,"47,743.36","48,395.63","47,533.46","48,171.76","48,171.76",-
11-Dec-23,"46,421.70","47,980.80","46,346.26","47,743.36","47,743.36",-
4-Dec-23,"46,295.42","46,471.67","45,831.04","46,421.70","46,421.70",-
27-Nov-23,"45,766.88","46,318.65","45,557.68","46,295.42","46,295.42",-
20-Nov-23,"45,312.96","45,822.86","45,289.55","45,766.88","45,766.88",-
13-Nov-23,"44,188.99","45,458.65","43,963.10","45,312.96","45,312.96",-
6-Nov-23,"43,792.11","44,213.40","43,503.53","44,188.99","44,188.99",-
30-Oct-23,"41,300.79","43,951.88","41,300.79","43,792.11","43,792.11",-
23-Oct-23,"42,406.60","42,750.57","41,178.31","41,300.79","41,300.79",-
16-Oct-23,"43,443.48","44,209.92","42,400.66","42,406.60","42,406.60",-
9-Oct-23,"43,332.12","44,143.87","43,099.46","43,443.48","43,443.48",-
2-Oct-23,"43,249.30","43,491.84","42,416.44","43,332.12","43,332.12",-
25-Sep-23,"43,490.14","43,703.79","42,732.24","43,249.30","43,249.30",-
18-Sep-23,"44,849.60","44,983.01","43,462.61","43,490.14","43,490.14",-
11-Sep-23,"44,941.45","45,452.12","44,800.55","44,849.60","44,849.60",-
4-Sep-23,"45,606.11","45,606.11","44,678.47","44,941.45","44,941.45",-
28-Aug-23,"44,390.65","45,836.72","44,390.65","45,606.11","45,606.11",-
21-Aug-23,"44,074.86","44,907.68","43,891.98","44,390.65","44,390.65",-
14-Aug-23,"45,089.77","45,315.13","43,693.83","44,074.86","44,074.86",-
7-Aug-23,"45,305.35","45,713.49","44,888.71","45,089.77","45,089.77",-
31-Jul-23,"46,323.70","46,487.01","45,275.52","45,305.35","45,305.35",-
24-Jul-23,"45,873.44","46,570.30","45,745.69","46,323.70","46,323.70",-
17-Jul-23,"45,530.32","46,333.34","45,530.32","45,873.44","45,873.44",-
10-Jul-23,"44,374.71","45,749.11","44,327.41","45,530.32","45,530.32",-
3-Jul-23,"44,883.61","44,964.78","44,132.85","44,374.71","44,374.71",-
26-Jun-23,"43,765.81","44,965.59","43,606.32","44,883.61","44,883.61",-
19-Jun-23,"44,473.36","44,473.36","43,702.21","43,765.81","43,765.81",-
12-Jun-23,"43,402.26","44,865.40","43,402.26","44,473.36","44,473.36",-
5-Jun-23,"43,181.54","43,659.90","42,961.18","43,402.26","43,402.26",-
29-May-23,"41,437.26","43,249.94","41,312.69","43,181.54","43,181.54",-
22-May-23,"41,325.07","41,541.34","40,532.58","41,437.26","41,437.26",-
15-May-23,"40,637.53","41,553.03","40,501.19","41,325.07","41,325.07",-
8-May-23,"40,768.03","40,854.45","40,263.73","40,637.53","40,637.53",-
1-May-23,"41,064.05","41,239.19","39,864.87","40,768.03","40,768.03",-
24-Apr-23,"40,845.91","41,065.22","39,928.64","41,064.05","41,064.05",-
17-Apr-23,"40,870.25","41,222.54","40,639.50","40,845.91","40,845.91",-
